"filename", "language", "Ini", "C++", "GLSL", "Shell Script", "Batch", "CMake", "YAML", "Objective-C++", "Markdown", "C", "comment", "blank", "total"
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\ImGui\misc\fonts\binary_to_compressed_c.cpp", "C++", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 43, 63, 386
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\ImGui\misc\freetype\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 12, 31
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\ImGui\misc\freetype\imgui_freetype.cpp", "C++", 0, 542, 0, 0, 0, 0, 0, 0, 0, 0, 130, 98, 770
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\ImGui\misc\freetype\imgui_freetype.h", "C++", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 51
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\ImGui\misc\single_file\imgui_single_file.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 19
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio.hpp", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 33, 7, 57
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\AlResource.hpp", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 47, 11, 71
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\Export.hpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 49
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\InputSoundFile.hpp", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 196, 28, 264
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\Listener.hpp", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 191, 21, 235
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\Music.hpp", "C++", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 251, 34, 338
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\OutputSoundFile.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 95, 18, 134
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\Sound.hpp", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 203, 29, 265
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundBuffer.hpp", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 276, 33, 353
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundBufferRecorder.hpp", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 105, 17, 145
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundFileFactory.hpp", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 131, 23, 198
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundFileFactory.inl", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 38, 15, 101
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundFileReader.hpp", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 127, 16, 166
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundFileWriter.hpp", "C++", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 98, 13, 126
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundRecorder.hpp", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 333, 32, 409
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundSource.hpp", "C++", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 257, 34, 333
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Audio\SoundStream.hpp", "C++", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 307, 36, 406
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Config.hpp", "C++", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 82, 71, 237
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\GpuPreference.hpp", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 50, 14, 75
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics.hpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 32, 7, 69
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\BlendMode.hpp", "C++", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 151, 19, 216
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\CircleShape.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 116, 18, 155
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Color.hpp", "C++", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 216, 24, 276
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\ConvexShape.hpp", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 117, 17, 154
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Drawable.hpp", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 95, 15, 127
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Export.hpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 29, 11, 49
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Font.hpp", "C++", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 329, 39, 440
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Glsl.hpp", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 159, 29, 228
"d:\Bureau\Development\Projects\Templates\Graphics_skeleton\libraries\SFML\Clang\x64\Frameworks\SFML.framework\Versions\2.5.1\Headers\Graphics\Glsl.inl", "C++", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 90, 14, 156
